[2021-10-30 14:30:11] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:30:11] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:30:11] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[97490688]
[2021-10-30 14:30:11] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[89097984]
[2021-10-30 14:35:58] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:35:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:35:58] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-766527744]
[2021-10-30 14:35:58] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-774920448]
[2021-10-30 14:37:25] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:37:25] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:37:25] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[2093963008]
[2021-10-30 14:37:25] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1744828160]
[2021-10-30 14:37:34] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:37:35] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:37:35] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[621766400]
[2021-10-30 14:37:35] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[613373696]
[2021-10-30 14:37:48] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:37:48] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:37:48] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1450211584]
[2021-10-30 14:37:48] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1458604288]
[2021-10-30 14:37:57] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:37:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:37:58] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1161836800]
[2021-10-30 14:37:58] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1170229504]
[2021-10-30 14:38:38] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:38:38] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:38:38] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2088769792]
[2021-10-30 14:38:38] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2097162496]
[2021-10-30 14:41:52] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:41:53] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:41:53] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-649103616]
[2021-10-30 14:41:53] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-657496320]
[2021-10-30 14:53:48] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:53:49] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:53:49] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1988085504]
[2021-10-30 14:53:49] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1979692800]
[2021-10-30 14:59:40] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 14:59:41] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 14:59:41] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-536873216]
[2021-10-30 14:59:41] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-545265920]
[2021-10-30 15:03:54] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 15:03:55] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
[2021-10-30 15:03:55] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-486549760]
[2021-10-30 15:03:55] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-494942464]
[2021-10-30 15:11:57] | CInterfaceManager.cpp-L4678: CamCtrl[2020009], U3V SDKVersion(1020009), DriverVersion(0)
[2021-10-30 15:11:58] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [616448]
