[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3172] pstFrameInfo->nFrameNum[3175]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3175] pstFrameInfo->nFrameNum[3177]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3177] pstFrameInfo->nFrameNum[3181]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3181] pstFrameInfo->nFrameNum[3183]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3184] pstFrameInfo->nFrameNum[3186]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3186] pstFrameInfo->nFrameNum[3188]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3188] pstFrameInfo->nFrameNum[3191]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3191] pstFrameInfo->nFrameNum[3193]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3193] pstFrameInfo->nFrameNum[3196]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3197] pstFrameInfo->nFrameNum[3199]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3199] pstFrameInfo->nFrameNum[3203]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3203] pstFrameInfo->nFrameNum[3205]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3205] pstFrameInfo->nFrameNum[3207]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3207] pstFrameInfo->nFrameNum[3209]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3209] pstFrameInfo->nFrameNum[3212]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3213] pstFrameInfo->nFrameNum[3215]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3215] pstFrameInfo->nFrameNum[3217]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3218] pstFrameInfo->nFrameNum[3220]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3220] pstFrameInfo->nFrameNum[3222]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3222] pstFrameInfo->nFrameNum[3225]
[2021-10-30 16:52:33] |    StreamProcess.cpp-L1471: delete one DataNode
[2021-10-30 16:52:33] |    StreamProcess.cpp-L0541: nFrameNum[3225] pstFrameInfo->nFrameNum[3227]
